,w_front,reward
0,[0. 1.],[ 0.7 -1. ]
1,[0.03125 0.96875],[ 0.7 -2. ]
2,[0.0625 0.9375],[ 0.7 -2. ]
3,[0.09375 0.90625],[ 0.7 -3. ]
4,[0.125 0.875],[ 0.7 -3. ]
5,[0.15625 0.84375],[ 0.7 -5. ]
6,[0.1875 0.8125],[ 0.7 -5. ]
7,[0.21875 0.78125],[11.5 -9. ]
8,[0.25 0.75],[11.5 -7. ]
9,[0.28125 0.71875],[ 8.2 -7. ]
10,[0.3125 0.6875],[11.5 -7. ]
11,[0.34375 0.65625],[11.5 -8. ]
12,[0.375 0.625],[11.5 -9. ]
13,[0.40625 0.59375],[11.5 -9. ]
14,[0.4375 0.5625],[16.1 -9. ]
15,[0.46875 0.53125],[ 15.1 -10. ]
16,[0.5 0.5],[ 15.1 -11. ]
17,[0.53125 0.46875],[ 14. -11.]
18,[0.5625 0.4375],[ 20.3 -15. ]
19,[0.59375 0.40625],[ 19.6 -13. ]
20,[0.625 0.375],[ 20.3 -14. ]
21,[0.65625 0.34375],[ 19.6 -14. ]
22,[0.6875 0.3125],[ 19.6 -15. ]
23,[0.71875 0.28125],[ 22.4 -17. ]
24,[0.75 0.25],[ 20.3 -16. ]
25,[0.78125 0.21875],[ 20.3 -15. ]
26,[0.8125 0.1875],[ 22.4 -17. ]
27,[0.84375 0.15625],[ 22.4 -19. ]
28,[0.875 0.125],[ 22.4 -18. ]
29,[0.90625 0.09375],[ 22.4 -17. ]
30,[0.9375 0.0625],[ 23.7 -19. ]
31,[0.96875 0.03125],[ 23.7 -19. ]
32,[1. 0.],[ 23.7 -19. ]
